

        *** EAGLE-TRT
        *** Telemetry Log File
        *** 12/15/2020, 18:12:54        

        *** Pilot: Mirco
        *** Race: Acceleration
        *** Circuit: Vadena        

(1608055974.509553) can0 201#90C4000000000000
(1608055974.510584) can0 202#903C000000000000
(1608055974.510967) can0 4EC#0050FFE700970000
(1608055974.511665) can0 201#90C4000000000000
(1608055974.511997) can0 4ED#00040003FF9E0000
(1608055974.512614) can0 202#903C000000000000
(1608055974.512952) can0 0AA#0A039D0422026F
(1608055974.513573) can0 201#90C4000000000000
(1608055974.514551) can0 202#903C000000000000
(1608055974.515114) can0 4EC#0041FFE200940000
(1608055974.515625) can0 201#90C4000000000000
(1608055974.516335) can0 4ED#00040003FF9E0000
(1608055974.516722) can0 202#903C000000000000
(1608055974.517694) can0 201#90C4000000000000
(1608055974.518586) can0 202#903C000000000000
(1608055974.519589) can0 0C0#022E580000000000
(1608055974.519955) can0 201#90C4000000000000
(1608055974.520499) can0 4EC#004FFFE200920000
(1608055974.520926) can0 0C0#01138B1385138D32
(1608055974.521407) can0 202#903C000000000000
(1608055974.521840) can0 4ED#00040003FF9E0000
(1608055974.522236) can0 0C0#0001910192019004
(1608055974.522580) can0 201#90C4000000000000
(1608055974.522951) can0 0D0#150309030900006B
(1608055974.523358) can0 202#903C000000000000
(1608055974.523816) can0 0D0#080000000000006B
(1608055974.524292) can0 201#90C4000000000000
(1608055974.524666) can0 4EC#0052FFE700930000
(1608055974.525060) can0 0AA#0500060000
(1608055974.525534) can0 0AA#014211149DDA9A2C
(1608055974.525880) can0 0D0#0700000000000000
(1608055974.526195) can0 202#903C000000000000
(1608055974.526587) can0 4ED#00040003FF9E0000
(1608055974.526934) can0 0D0#060000000000006B
(1608055974.527216) can0 201#90C4000000000000
(1608055974.527581) can0 202#903C000000000000
(1608055974.527880) can0 201#90C4000000000000
(1608055974.528545) can0 4EC#0043FFEC00920000
(1608055974.528876) can0 0B0#01015F0500000000
(1608055974.529183) can0 202#903C000000000000
(1608055974.529675) can0 201#90C4000000000000
(1608055974.530022) can0 0B0#02640105DA010060
(1608055974.530418) can0 4ED#00040003FF9E0000
(1608055974.530743) can0 202#903C000000000000
(1608055974.531591) can0 201#9062000000000000
(1608055974.532530) can0 202#909E000000000000
(1608055974.532928) can0 4EC#0045FFED00960000
(1608055974.533569) can0 201#9062000000000000
(1608055974.534122) can0 4ED#00040003FF9E0000
(1608055974.534544) can0 202#909E000000000000
(1608055974.535608) can0 201#9062000000000000
(1608055974.537271) can0 0AA#0500070000
(1608055974.537690) can0 0AA#0142094F9DDA9A34
(1608055974.537987) can0 202#3DD8
(1608055974.538379) can0 202#909E000000000000
(1608055974.538713) can0 4EC#0047FFE400960000
(1608055974.539085) can0 201#9062000000000000
(1608055974.539510) can0 202#909E000000000000
(1608055974.539908) can0 4ED#00040003FF9E0000
(1608055974.540369) can0 0C0#022DBC0000000000
(1608055974.540746) can0 201#9062000000000000
(1608055974.541197) can0 182#4A904D02
(1608055974.541644) can0 0C0#01138D1385138832
(1608055974.542003) can0 202#909E000000000000
(1608055974.542425) can0 182#A8FDFF07
(1608055974.542970) can0 0C0#0001910192018F04
(1608055974.543485) can0 201#9062000000000000
(1608055974.543837) can0 4EC#003CFFF200900000
(1608055974.544255) can0 0D0#150309030900006B
(1608055974.544726) can0 202#909E000000000000
(1608055974.545065) can0 181#A8080007
(1608055974.545496) can0 182#5F030008
(1608055974.545905) can0 4ED#00040003FF9E0000
(1608055974.546380) can0 0D0#080000000000006B
(1608055974.546795) can0 201#9062000000000000
(1608055974.547206) can0 0D0#0700000000000000
(1608055974.547749) can0 202#909E000000000000
(1608055974.548085) can0 181#5FFFFF08
(1608055974.548480) can0 182#495D2901
(1608055974.548897) can0 0D0#060000000000006B
(1608055974.549282) can0 201#9062000000000000
(1608055974.549654) can0 181#499D7F01
(1608055974.549994) can0 4EC#003CFFEC00910000
(1608055974.550354) can0 202#909E000000000000
(1608055974.550774) can0 182#EB833503
(1608055974.551220) can0 4ED#00040003FF9E0000
(1608055974.551773) can0 201#9062000000000000
(1608055974.552130) can0 181#EB813603
(1608055974.552553) can0 202#909E000000000000
(1608055974.552935) can0 182#8A120004
(1608055974.553357) can0 201#9062000000000000
(1608055974.553742) can0 181#8AF9FF04
(1608055974.554078) can0 202#909E000000000000
(1608055974.554515) can0 4EC#0030FFE5008B0000
(1608055974.554825) can0 182#F6000005
(1608055974.555371) can0 201#9062000000000000
(1608055974.555696) can0 181#F6000005
(1608055974.555983) can0 4ED#00040003FF9E0000
(1608055974.556395) can0 202#909E000000000000
(1608055974.556719) can0 182#A07A0006
(1608055974.557065) can0 201#9062000000000000
(1608055974.557549) can0 0B0#0102600500000000
(1608055974.557896) can0 181#A0510006
(1608055974.558240) can0 202#909E000000000000
(1608055974.558670) can0 0B0#02640105E8010060
(1608055974.559063) can0 4EC#003BFFEB00950000
(1608055974.559456) can0 201#90C4000000000000
(1608055974.559808) can0 4ED#00040003FF9E0000
(1608055974.560124) can0 202#903C000000000000
(1608055974.560465) can0 201#90C4000000000000
(1608055974.560810) can0 202#903C000000000000
(1608055974.561145) can0 0C0#022DD60000000000
(1608055974.561478) can0 201#90C4000000000000
(1608055974.561798) can0 4EC#0044FFE500940000
(1608055974.562101) can0 0C0#0113871389138E32
(1608055974.562449) can0 202#903C000000000000
(1608055974.562943) can0 4ED#00040003FF9E0000
(1608055974.563776) can0 0C0#0001920190019104
(1608055974.564266) can0 201#90C4000000000000
(1608055974.564655) can0 0D0#150309030900006B
(1608055974.565042) can0 202#903C000000000000
(1608055974.565454) can0 0D0#080000000000006B
(1608055974.565809) can0 201#90C4000000000000
(1608055974.566155) can0 4EC#0044FFDF008B0000
(1608055974.566543) can0 0D0#0700000000000000
(1608055974.567034) can0 202#903C000000000000
(1608055974.567429) can0 4ED#00040003FF9E0000
(1608055974.567787) can0 0D0#060000000000006B
(1608055974.568125) can0 201#90C4000000000000
(1608055974.568488) can0 202#903C000000000000
(1608055974.568862) can0 201#90C4000000000000
(1608055974.569253) can0 202#903C000000000000
(1608055974.569608) can0 4EC#0043FFDD008B0000
(1608055974.569953) can0 201#90C4000000000000
(1608055974.570306) can0 4ED#00040003FF9E0000
(1608055974.570665) can0 202#903C000000000000
(1608055974.571822) can0 201#90C4000000000000
(1608055974.572631) can0 202#903C000000000000
(1608055974.573581) can0 4EC#0050FFE200880000
(1608055974.573982) can0 201#90C4000000000000
(1608055974.574439) can0 4ED#00040003FF9E0000
(1608055974.574785) can0 202#903C000000000000
(1608055974.575250) can0 0AA#0500030000
(1608055974.575699) can0 0AA#0142086E9DD89A3A
(1608055974.576047) can0 201#90C4000000000000
(1608055974.576527) can0 202#903C000000000000
(1608055974.576853) can0 0FF#98003E4300000000
(1608055974.577552) can0 201#90C4000000000000
(1608055974.577874) can0 4EC#0045FFE100820000
(1608055974.578697) can0 202#903C000000000000
(1608055974.579621) can0 0B0#0102600500000000
(1608055974.580016) can0 4ED#00040002FF9E0000
(1608055974.580375) can0 0C0#022DBC0000000000
(1608055974.580702) can0 201#90C4000000000000
(1608055974.581001) can0 0B0#02640105BF010053
(1608055974.581333) can0 0C0#0113861388138B32
(1608055974.581640) can0 202#903C000000000000
(1608055974.581962) can0 0C0#0001900191018F04
(1608055974.582307) can0 201#90C4000000000000
(1608055974.582628) can0 4EC#0052FFE0008B0000
(1608055974.583011) can0 0D0#150309030900006B
(1608055974.583428) can0 202#903C000000000000
(1608055974.583766) can0 4ED#00040002FF9E0000
(1608055974.584086) can0 0D0#080000000000006B
(1608055974.584410) can0 201#90C4000000000000
(1608055974.584728) can0 0D0#0700000000000000
(1608055974.585023) can0 202#903C000000000000
(1608055974.585444) can0 0D0#060000000000006B
(1608055974.585763) can0 201#90C4000000000000
(1608055974.586518) can0 202#903C000000000000
(1608055974.586853) can0 4EC#0054FFEB008D0000
(1608055974.587580) can0 201#90C4000000000000
(1608055974.587931) can0 4ED#00040002FF9E0000
(1608055974.588515) can0 202#903C000000000000
(1608055974.589558) can0 201#90C4000000000000
(1608055974.590537) can0 202#903C000000000000
(1608055974.590961) can0 181#4AFF4E02
(1608055974.591328) can0 182#A8000007
(1608055974.591671) can0 4EC#004FFFE6008E0000
(1608055974.592057) can0 201#90C4000000000000
(1608055974.592416) can0 4ED#00040002FF9E0000
(1608055974.592767) can0 202#903C000000000000
(1608055974.593057) can0 181#A8000007
(1608055974.593527) can0 201#90C4000000000000
(1608055974.594496) can0 202#903C000000000000
(1608055974.595593) can0 4EC#0046FFEC00950000
(1608055974.595936) can0 201#90C4000000000000
(1608055974.596534) can0 202#903C000000000000
(1608055974.596875) can0 4ED#00040002FF9D0000
(1608055974.597544) can0 201#90C4000000000000
